  PID User     Command                         Swap      USS      PSS      RSS 
 1564 btwl     /usr/bin/podman                  192        4       16     2196 
58522 btwl     /home/btwl/.cache/dfinity/v      264       12       34     2696 
205524 btwl     /usr/bin/bwrap --args 26 --       92        0       36     1872 
205519 btwl     /usr/bin/bwrap --args 30 --      156        0       37     1188 
205518 btwl     /usr/bin/bwrap --args 30 --       88        4       38     1872 
 4163 btwl     /usr/bin/bash --init-file /     1824        4       42     2800 
 2376 btwl     sh -c /usr/bin/ibus-daemon        84       20       56     1672 
205525 btwl     /usr/bin/bwrap --args 26 --      124       40       75     1296 
478827 btwl     sleep 180                          0      100      123     2376 
478747 btwl     sleep 180                          0      104      127     2380 
 2469 btwl     /usr/libexec/ibus-dconf          788       88      137     6260 
472100 btwl     sh /home/btwl/.vscode-serve        0      100      137     1820 
312572 btwl     /bin/sh /usr/lib/update-not        0      108      144     1764 
446385 btwl     cat /tmp/vscode-bash-debug-        0      136      151     2320 
 2251 btwl     /usr/libexec/gnome-shell-ca     2996        4      204     8332 
446387 btwl     bash -c function cleanup()
        0       88      272     1616 
 2301 btwl     /usr/libexec/goa-identity-s     1968      192      293     9456 
 1495 btwl     /usr/libexec/gdm-wayland-se      320      264      310     6020 
446381 btwl     bash -c function cleanup()
        0       88      334     3932 
205522 btwl     /usr/bin/xdg-dbus-proxy --a      228      300      342     5828 
 1456 btwl     /snap/snapd-desktop-integra     1128       28      368      712 
58458 btwl     /home/btwl/.cache/dfinity/v     3356      344      369     3284 
58444 btwl     /home/btwl/bin/dfx start        1908      328      371     3964 
 1719 btwl     /usr/libexec/gnome-session-        4      480      520     5732 
472306 btwl     bash                               0      388      534     3988 
 2594 btwl     /usr/libexec/ibus-engine-si      328      560      614     6808 
472040 btwl     bash                               0      512      681     4316 
 1806 btwl     /usr/bin/dbus-daemon --conf       64      620      711     4160 
58868 btwl     /home/btwl/.cache/dfinity/v    21572      684      716     3452 
 1815 btwl     /usr/libexec/xdg-permission        0      676      719     6444 
 1657 btwl     /usr/libexec/gvfsd-fuse /ru      312      648      756     6292 
 2406 btwl     /usr/libexec/gsd-screensave        0      716      767     6680 
 2378 btwl     /usr/libexec/gsd-a11y-setti        0      764      817     6940 
 1788 btwl     /usr/libexec/at-spi-bus-lau      112      792      846     7152 
 2397 btwl     /usr/libexec/gsd-print-noti      912      716      869     8072 
 2317 btwl     /usr/libexec/dconf-service         0      844      883     5948 
 2305 btwl     /usr/libexec/gvfs-mtp-volum        0      840      885     6660 
 2862 btwl     /usr/libexec/gvfsd-metadata        0      824      905     6796 
 2292 btwl     /usr/libexec/gvfs-goa-volum        0      876      924     6792 
 2359 btwl     /usr/libexec/at-spi2-regist        0      876      926     7228 
 1643 btwl     /usr/libexec/gvfsd               284      816      932     7248 
58563 btwl     /home/btwl/.cache/dfinity/v     2096      944      944      948 
 2403 btwl     /usr/libexec/gsd-rfkill            0      908      959     6860 
 2271 btwl     /usr/libexec/goa-daemon         7008      664      964    13880 
 2288 btwl     /usr/libexec/gvfs-gphoto2-v        0     1132     1180     7076 
 1809 btwl     /usr/libexec/xdg-document-p       44     1080     1196     7812 
 2387 btwl     /usr/libexec/gsd-housekeepi        0     1132     1203     7864 
 2412 btwl     /usr/libexec/gsd-smartcard         0     1160     1307     7448 
 2515 btwl     /usr/libexec/ibus-portal         280     1264     1316     7612 
 2438 btwl     /usr/libexec/gsd-sound             0     1332     1396     8832 
 2346 btwl     /usr/libexec/gvfsd-trash --      308     1324     1445     8224 
 2318 btwl     /usr/libexec/gvfs-afc-volum        0     1308     1460     7564 
 1451 btwl     /usr/bin/pipewire-media-ses      116     1176     1495     5764 
 1450 btwl     /usr/bin/pipewire                108     1256     1586     6052 
 2452 btwl     /usr/libexec/gsd-disk-utili      280     1488     1597     6944 
 1466 btwl     /usr/bin/gnome-keyring-daem      468     1548     1602     6296 
 1562 btwl     /usr/libexec/gnome-session-      236     1688     1845    12408 
 2408 btwl     /usr/libexec/gsd-sharing          44     1720     1939     8392 
 1504 btwl     /usr/bin/dbus-daemon --sess      428     1804     1946     5612 
473439 btwl     /usr/bin/bash                      0     1752     1954     5836 
